#;Title;Artist;Release;Original Composition Year;BPM;Energy;Dance;Loud;Valence;Acoustic;Pop.;A.Sep;Rnd;Source;Duplicate Check;Spotify_ID;Genre_1;Genre_2;Genre_3;Genres_All;Popularity;Album_Name
34;Zoet, Zout, Zuur;Robert van Hemert;19-05-2023;;136;88;58;-4;64;2;67;45;2447;Top 50 - Nederland;Zoet, Zout, Zuur|Robert van Hemert;4xTjO1NgHBEbINFUQ9Kgao;Levenslied / NL-pop;;;nederpop;67;Zoet, Zout, Zuur
50;Move;Adam Port;07-06-2024;;120;78;73;-9;66;6;86;41;7305;Top 50 - Nederland;Move|Adam Port;1BJJbSX6muJVF2AK7uH1x4;Melodic house / Tech house;house;;afro house, house;86;Move
42;Messy;Lola Young;21-06-2024;;111;56;80;-6;65;11;85;35;2255;Top 50 - Nederland;Messy|Lola Young;3SKH53SPQbEnZR4cJPVaz2;Alternative pop / indie soul;;;country;86;Messy
27;Lotje;Lustrum U.V.S.V./N.V.V.S.U.;18-07-2024;;123;70;78;-8;82;25;67;24;5118;Top 50 - Nederland;Lotje|Lustrum U.V.S.V./N.V.V.S.U.;289NOT3DzIaOL5usnMEU4V;Feest / Studentenpop;;;nederpop;67;ANNO ONS
29;I Adore You (feat. Daecolm);HUGEL;19-07-2024;;120;79;70;-7;31;1;88;27;1742;Top 50 - Nederland;I Adore You (feat. Daecolm)|HUGEL;5nPbKG04fhLkIAjcPFaZq7;Dance / House;afro house;techengue;latin house, afro house, techengue;88;I Adore You (feat. Daecolm)
17;Love Me Not;Ravyn Lenae;09-08-2024;;114;73;78;-6;81;30;90;19;2236;Top 50 - Nederland;Love Me Not|Ravyn Lenae;1UNEuG9DYOWiikf00ayr52;Alternative R&B;indie soul;;alternative r&b, indie soul;87;Love Me Not / Love Is Blind
30;Blikkendag;Sven Versteeg;22-09-2024;;132;94;71;-4;81;1;68;28;5460;Top 50 - Nederland;Blikkendag|Sven Versteeg;3HcIbVeDYLg8u2DiqM4zuT;NL-pop / singer-songwriter;;;disco house;68;Blikkendag
40;back to friends;sombr;27-12-2024;;93;72;44;-2;24;0;97;47;7187;Top 50 - Nederland;back to friends|sombr;0FTmksd2dxiE5e3rWyJXs6;Alt-pop / indie;;;country;97;back to friends
2;Baila de Gasolina;Effe Serieus;17-01-2025;;128;87;42;-6;46;1;73;8;52;Top 50 - Nederland;Baila de Gasolina|Effe Serieus;43TPlT0l0HXLtKUOUoY3gY;Feest / Dance (carnaval);;;tropical house;73;Baila de Gasolina
19;Show Me Love;WizTheMc;07-02-2025;;107;69;71;-7;16;2;91;5;847;Top 50 - Nederland;Show Me Love|WizTheMc;5ITV0zqzjOYfFWpW0xBmRa;Indie pop / pop-rap;;;soft pop;91;Show Me Love
10;Mona Lisa;Robert van Hemert;28-02-2025;;110;73;84;-6;85;2;71;3;5107;Top 50 - Nederland;Mona Lisa|Robert van Hemert;05mRvdy1w3YtLhz2sHYzrB;Levenslied / NL-pop;;;tropical house;71;Niet Voor Lief
39;Beautiful People;David Guetta;07-03-2025;;127;76;74;-5;42;11;85;33;7303;Top 50 - Nederland;Beautiful People|David Guetta;4TwEdnSiTPDR1vg1QZ5K8W;EDM / Dance;dance;;edm, dance;85;Beautiful People
14;Ik Zing (feat. Snelle);Zoë Livay;20-03-2025;;97;47;57;-8;22;49;71;16;9743;Top 50 - Nederland;Ik Zing (feat. Snelle)|Zoë Livay;0fROjdyTv6S6E65qpQfwHa;Pop / R&B;;;nederpop;71;Ik Zing (feat. Snelle)
9;Echte Liefde Is Te Koop;Samuel Welten;21-03-2025;;131;72;47;-7;50;3;73;2;475;Top 50 - Nederland;Echte Liefde Is Te Koop|Samuel Welten;7tW2Md8xOwnKPIYhCqPiU4;Levenslied / NL-pop;;;tropical house;73;Echte Liefde Is Te Koop
24;Atlas;Pommelien Thijs;21-03-2025;;120;56;73;-7;64;49;73;6;3086;Top 50 - Nederland;Atlas|Pommelien Thijs;6zdmJ79GtRfpJJdaDPECYm;Nederlandstalige pop;;;nederpop;73;Atlas
36;undressed;sombr;21-03-2025;;116;89;64;-4;89;14;93;7;2804;Top 50 - Nederland;undressed|sombr;4AajxCEwGEsmHmT4H1TwjY;Alt-pop / indie;;;soft pop;93;undressed
13;Azizam;Ed Sheeran;04-04-2025;;128;90;66;-5;88;0;90;4;6283;Top 50 - Nederland;Azizam|Ed Sheeran;0GRc3eGTg8HBdWLRGYgqIc;Pop;;;soft pop;90;Azizam
49;Vaitimbora;Mariana Froes;02-05-2025;;96;51;85;-8;48;26;81;40;8337;Top 50 - Nederland;Vaitimbora|Mariana Froes;0QAUgW2vTmlUWhbiNeSkWm;MPB / Braziliaanse folk-indie;;;nova mpb;81;Vaitimbora
8;Blessings;Calvin Harris;09-05-2025;;130;88;72;-4;64;0;89;13;1361;Top 50 - Nederland;Blessings|Calvin Harris;78nx0HDJIFD5xDq2L5420Z;EDM / House;;;edm;89;Blessings
26;Met Of Zonder Jou;Tino Martin;29-05-2025;;129;76;70;-6;96;16;60;23;9541;Top 50 - Nederland;Met Of Zonder Jou|Tino Martin;6EkLMgBYvDlRnj2UOtG622;NL-pop / levenslied;;;nederpop;67;Met Of Zonder Jou
43;Hoe hou ik dit vast;Bente;29-05-2025;;95;66;57;-6;40;51;65;36;9073;Top 50 - Nederland;Hoe hou ik dit vast|Bente;4ELJFskubTyiQQJeWfFUvq;Nederlandstalige pop;;;nederpop;65;Hoe hou ik dit vast
23;Sapphire;Ed Sheeran;05-06-2025;;95;72;63;-6;39;2;90;43;2040;Top 50 - Nederland;Sapphire|Ed Sheeran;4Q0qVhFQa7j6jRKzo3HDmP;Pop;;;soft pop;90;Sapphire
37;Manchild;Sabrina Carpenter;05-06-2025;;123;69;73;-5;81;12;94;32;2000;Top 50 - Nederland;Manchild|Sabrina Carpenter;42UBPzRMh5yyz0EDPr6fr1;Pop;;;k-pop;94;Manchild
18;Tranquilo;Jan Smit;06-06-2025;;125;93;80;-3;93;3;65;20;1851;Top 50 - Nederland;Tranquilo|Jan Smit;2MdohxuwIfNPtEdknrsv7z;NL-pop / Volks;;;nederpop;65;Tranquilo
25;Dior (feat. Chrystal);MK;06-06-2025;;128;80;83;-6;40;0;83;22;8188;Top 50 - Nederland;Dior (feat. Chrystal)|MK;6PTgSuFz9JqQ1o0jTYOuvX;House;;;house;83;Dior (feat. Chrystal)
47;Lotje - Lil Kleine Remix;Roeland Beelen;06-06-2025;;126;93;82;-3;94;10;69;39;3619;Top 50 - Nederland;Lotje - Lil Kleine Remix|Roeland Beelen;7ps3LdQn8lKdaa2sbIKFTR;Feest / Urban pop;;;nederpop;69;Lotje (Lil Kleine Remix)
15;Ze Komt Uit Amsterdam;Kris Kross Amsterdam;12-06-2025;;99;80;62;-4;63;18;70;17;4708;Top 50 - Nederland;Ze Komt Uit Amsterdam|Kris Kross Amsterdam;3JzuluW7MzrmMkNpfZwtyp;Pop / Dance;;;tropical house;70;Ze Komt Uit Amsterdam
12;Golden;HUNTR/X;20-06-2025;;123;69;65;-4;10;10;100;15;2690;Top 50 - Nederland;Golden|HUNTR/X;1CPZ5BxNNd0n0nF4Orb9JS;Alternative pop / electronic;;;k-pop;100;KPop Demon Hunters (Soundtrack from the Netflix Film)
22;Alles Kan Kapot;Samuel Welten;20-06-2025;;136;84;69;-6;60;1;70;42;5427;Top 50 - Nederland;Alles Kan Kapot|Samuel Welten;1ufm3zszexVlsNpayLSsiA;NL-pop / levenslied;;;tropical house;70;Alles Kan Kapot
41;Mystical Magical;Benson Boone;20-06-2025;;120;70;67;-4;85;19;85;34;9026;Top 50 - Nederland;Mystical Magical|Benson Boone;2ipIPsgrgd0j2beDf4Ki70;Pop;;;edm;85;American Heart
